year,uniqueid,data_value,low_confidence_limit,high_confidence_limit,populationcount,geolocation,tractfips,boro_code,boro,tract_code
2017,3651000-36061022302,9.9,9.3,10.5,3385,"
,  
(40.8215847255, -73.9604346178)",36061022302,061,Manhattan,022302
2017,3651000-36081141700,7.3,7,7.6,4475,"
,  
(40.7447947625, -73.7916829232)",36081141700,081,Queens,141700
2017,3651000-36061015601,8.5,8.1,9.2,5345,"
,  
(40.7835685824, -73.9475024239)",36061015601,061,Manhattan,015601
2017,3651000-36005005200,11.8,11,12.6,2031,"
,  
(40.8256415999, -73.8824355793)",36005005200,005,Bronx,005200
2017,3651000-36061022200,10.7,10.1,11.5,2644,"
,  
(40.8083401807, -73.9487876199)",36061022200,061,Manhattan,022200
2017,3651000-36081051200,11.7,10.9,12.6,2619,"
,  
(40.7104101758, -73.7501194061)",36081051200,081,Queens,051200
2017,3651000-36047051800,10.3,9.7,10.8,3415,"
,  
(40.6379909092, -73.9607950796)",36047051800,047,Brooklyn,051800
2017,3651000-36061030700,8.6,8.2,9.1,3434,"
,  
(40.8712703825, -73.9166750122)",36061030700,061,Manhattan,030700
2017,3651000-36005046000,12.8,12.1,13.7,2741,"
,  
(40.882443851, -73.8426480673)",36005046000,005,Bronx,046000
2017,3651000-36085027705,9.3,8.8,10,5351,"
,  
(40.5882480003, -74.156981947)",36085027705,085,Staten Island,027705
2017,3651000-36047002100,7.8,7.4,8.4,3604,"
,  
(40.7030737313, -73.9868573476)",36047002100,047,Brooklyn,002100
2017,3651000-36047078400,11.4,10.6,12.2,2348,"
,  
(40.6342623844, -73.9429557809)",36047078400,047,Brooklyn,078400
2017,3651000-36005018301,10.9,10.3,11.6,4525,"
,  
(40.8286371613, -73.9208133184)",36005018301,005,Bronx,018301
2017,3651000-36061012700,7.8,7.5,8.2,6928,"
,  
(40.7622370156, -73.9898560468)",36061012700,061,Manhattan,012700
2017,3651000-36047033500,10.3,9.8,11,3139,"
,  
(40.6675940551, -73.9423884864)",36047033500,047,Brooklyn,033500
2017,3651000-36005040800,12,11.2,12.8,4263,"
,  
(40.8897426398, -73.8617419508)",36005040800,005,Bronx,040800
