B19013_001E,B19013_001M,GEO_ID,NAME
Estimate!!Median household income in the past 12 months (in 2019 inflation-adjusted dollars),Margin of Error!!Median household income in the past 12 months (in 2019 inflation-adjusted dollars),id,Geographic Area Name
-,**,1400000US36005000100,"Census Tract 1, Bronx County, New York"
51100,14133,1400000US36005000200,"Census Tract 2, Bronx County, New York"
78409,11642,1400000US36005000400,"Census Tract 4, Bronx County, New York"
34093,2370,1400000US36005001600,"Census Tract 16, Bronx County, New York"
45156,8158,1400000US36005001900,"Census Tract 19, Bronx County, New York"
20592,5007,1400000US36005002000,"Census Tract 20, Bronx County, New York"
18688,3641,1400000US36005002300,"Census Tract 23, Bronx County, New York"
-,**,1400000US36005002400,"Census Tract 24, Bronx County, New York"
23115,8426,1400000US36005002500,"Census Tract 25, Bronx County, New York"
18832,2799,1400000US36005002701,"Census Tract 27.01, Bronx County, New York"
13097,2101,1400000US36005002702,"Census Tract 27.02, Bronx County, New York"
51138,3986,1400000US36005002800,"Census Tract 28, Bronx County, New York"
43255,5431,1400000US36005003100,"Census Tract 31, Bronx County, New York"
22127,5882,1400000US36005003300,"Census Tract 33, Bronx County, New York"
31310,6819,1400000US36005003500,"Census Tract 35, Bronx County, New York"
-,**,1400000US36005003700,"Census Tract 37, Bronx County, New York"
33681,15765,1400000US36005003800,"Census Tract 38, Bronx County, New York"
25772,11016,1400000US36005003900,"Census Tract 39, Bronx County, New York"
54868,13585,1400000US36005004001,"Census Tract 40.01, Bronx County, New York"
19643,6689,1400000US36005004100,"Census Tract 41, Bronx County, New York"
43293,17481,1400000US36005004200,"Census Tract 42, Bronx County, New York"
21689,5670,1400000US36005004300,"Census Tract 43, Bronx County, New York"
17297,4496,1400000US36005004400,"Census Tract 44, Bronx County, New York"
21360,9874,1400000US36005004600,"Census Tract 46, Bronx County, New York"
33403,11507,1400000US36005004800,"Census Tract 48, Bronx County, New York"
27009,5002,1400000US36005005001,"Census Tract 50.01, Bronx County, New York"
31795,5159,1400000US36005005002,"Census Tract 50.02, Bronx County, New York"
19115,4154,1400000US36005005100,"Census Tract 51, Bronx County, New York"
21140,5522,1400000US36005005200,"Census Tract 52, Bronx County, New York"
16583,3673,1400000US36005005300,"Census Tract 53, Bronx County, New York"
35189,5145,1400000US36005005400,"Census Tract 54, Bronx County, New York"
27153,8749,1400000US36005005600,"Census Tract 56, Bronx County, New York"
30844,5505,1400000US36005005902,"Census Tract 59.02, Bronx County, New York"
34898,5954,1400000US36005006000,"Census Tract 60, Bronx County, New York"
45361,3720,1400000US36005006100,"Census Tract 61, Bronx County, New York"
25206,6611,1400000US36005006200,"Census Tract 62, Bronx County, New York"
37306,7217,1400000US36005006300,"Census Tract 63, Bronx County, New York"
38415,7164,1400000US36005006400,"Census Tract 64, Bronx County, New York"
25467,5352,1400000US36005006500,"Census Tract 65, Bronx County, New York"
19813,7803,1400000US36005006700,"Census Tract 67, Bronx County, New York"
54395,9638,1400000US36005006800,"Census Tract 68, Bronx County, New York"
37590,11520,1400000US36005006900,"Census Tract 69, Bronx County, New York"
50500,19433,1400000US36005007000,"Census Tract 70, Bronx County, New York"
42292,8157,1400000US36005007100,"Census Tract 71, Bronx County, New York"
43197,11922,1400000US36005007200,"Census Tract 72, Bronx County, New York"
22344,6194,1400000US36005007300,"Census Tract 73, Bronx County, New York"
39537,13570,1400000US36005007400,"Census Tract 74, Bronx County, New York"
30706,7264,1400000US36005007500,"Census Tract 75, Bronx County, New York"
46176,9176,1400000US36005007600,"Census Tract 76, Bronx County, New York"
38417,7949,1400000US36005007700,"Census Tract 77, Bronx County, New York"
52360,13613,1400000US36005007800,"Census Tract 78, Bronx County, New York"
26307,10488,1400000US36005007900,"Census Tract 79, Bronx County, New York"
32167,7739,1400000US36005008300,"Census Tract 83, Bronx County, New York"
85750,3282,1400000US36005008400,"Census Tract 84, Bronx County, New York"
31370,2847,1400000US36005008500,"Census Tract 85, Bronx County, New York"
21848,6207,1400000US36005008600,"Census Tract 86, Bronx County, New York"
23967,8741,1400000US36005008700,"Census Tract 87, Bronx County, New York"
28642,10783,1400000US36005008900,"Census Tract 89, Bronx County, New York"
24487,5277,1400000US36005009000,"Census Tract 90, Bronx County, New York"
50176,9847,1400000US36005009200,"Census Tract 92, Bronx County, New York"
32852,9739,1400000US36005009300,"Census Tract 93, Bronx County, New York"
