boro_code,boro_ct201,boro_name,cdeligibil,ct2010,ctlabel,ntacode,ntaname,puma,shape_area,shape_leng,shapearea2,prop_area_15hundredths
"5","5000900",Staten Island,E,"000900","9",SI22,West New Brighton-New Brighton-St. George,"3903",2497009.7135899998247623443603515625000,7729.0167938300000969320535659790039,231980.048,0.378
"1","1009800",Manhattan,I,"009800","98",MN19,Turtle Bay-East Midtown,"3808",1906016.4466200000606477260589599609375,5534.2003082499995798571035265922546,177076.759,1.000
"1","1010200",Manhattan,I,"010200","102",MN17,Midtown-Midtown South,"3807",1860992.6816300000064074993133544921875,5687.8024389100000917096622288227081,172893.901,0.477
"1","1010400",Manhattan,I,"010400","104",MN17,Midtown-Midtown South,"3807",1864600.3519200000446289777755737304688,5693.0363668700001653633080422878265,173229.081,0.280
"1","1011300",Manhattan,I,"011300","113",MN17,Midtown-Midtown South,"3807",1890907.2510500000789761543273925781250,5699.8606403699996008072048425674438,175673.043,0.862
"1","1013000",Manhattan,I,"013000","130",MN40,Upper East Side-Carnegie Hill,"3805",1918144.5637399998959153890609741210938,5807.9729564899998877081088721752167,178203.668,0.368
"1","1014000",Manhattan,I,"014000","140",MN40,Upper East Side-Carnegie Hill,"3805",1925984.2801999999210238456726074218750,5820.8159615000004123430699110031128,178932.037,1.000
"1","1018400",Manhattan,E,"018400","184",MN34,East Harlem North,"3804",1903568.4255200000479817390441894531250,5771.8740985699996599578298628330231,176849.668,0.892
"1","1019000",Manhattan,I,"019000","190",MN11,Central Harlem South,"3803",1117371.6867400000337511301040649414062,4231.8270873600004051695577800273895,103808.627,0.988
"1","1020600",Manhattan,E,"020600","206",MN03,Central Harlem North-Polo Grounds,"3803",1602693.7915699998848140239715576171875,5176.8730812599997079814784228801727,148897.161,1.000
"1","1024900",Manhattan,I,"024900","249",MN36,Washington Heights South,"3801",652856.4598410000326111912727355957031,3927.8213751299999785260297358036041,60653.209,1.000
"1","1026900",Manhattan,E,"026900","269",MN35,Washington Heights North,"3801",1889655.5794899999164044857025146484375,6017.0369554700000662705861032009125,175557.241,0.524
"3","3000501",Brooklyn,I,"000501","5.01",BK09,Brooklyn Heights-Cobble Hill,"4004",901507.0688259999733418226242065429688,4828.1702752399996825261041522026062,83753.332,0.522
"3","3005800",Brooklyn,E,"005800","58",BK31,Bay Ridge,"4013",2080303.3885800000280141830444335937500,6098.1678008899998530978336930274963,193266.127,0.080
"3","3007400",Brooklyn,E,"007400","74",BK32,Sunset Park West,"4012",1516612.8817799999378621578216552734375,4994.5636004500001945416443049907684,140898.096,0.887
"3","3007800",Brooklyn,E,"007800","78",BK32,Sunset Park West,"4012",1509791.9599299998953938484191894531250,4986.6715956799998821225017309188843,140264.489,0.546
"3","3010100",Brooklyn,I,"010100","101",BK32,Sunset Park West,"4012",3393635.5095799998380243778228759765625,7585.5288661499998852377757430076599,315280.020,1.000
"3","3010200",Brooklyn,E,"010200","102",BK34,Sunset Park East,"4012",1640687.8277000000234693288803100585938,5223.3784509200004322337917983531952,152424.998,0.672
"3","3010400",Brooklyn,E,"010400","104",BK34,Sunset Park East,"4012",1639390.8973999998997896909713745117188,5221.7916918700002497644163668155670,152304.458,0.000
"3","3011000",Brooklyn,E,"011000","110",BK34,Sunset Park East,"4012",1699091.8427999999839812517166137695312,5365.0364309500000672414898872375488,157851.017,1.000
"3","3012801",Brooklyn,E,"012801","128.01",BK30,Dyker Heights,"4013",1238338.7017600000835955142974853515625,4828.9837177600002178223803639411926,115045.386,0.869
"3","3013700",Brooklyn,I,"013700","137",BK37,Park Slope-Gowanus,"4005",1638365.9165500001981854438781738281250,5226.6313125899996521184220910072327,152209.846,0.518
"3","3013900",Brooklyn,I,"013900","139",BK37,Park Slope-Gowanus,"4005",1631336.4932299999054521322250366210938,5219.6802356600001076003536581993103,151556.748,0.519
"3","3017000",Brooklyn,I,"017000","170",BK27,Bath Beach,"4017",2249706.4188999999314546585083007812500,7327.4271316100002877647057175636292,209003.885,0.462
"3","3019000",Brooklyn,E,"019000","190",BK28,Bensonhurst West,"4017",2291793.6587800001725554466247558593750,6614.3188179099997796583920717239380,212914.236,0.266
"3","3019200",Brooklyn,E,"019200","192",BK88,Borough Park,"4014",2042946.4784899998921900987625122070312,5880.3171761100002186140045523643494,189795.808,0.223
"3","3019400",Brooklyn,E,"019400","194",BK30,Dyker Heights,"4013",1920211.7142799999564886093139648437500,6220.2926335800002561882138252258301,178393.320,1.000
"3","3019500",Brooklyn,I,"019500","195",BK69,Clinton Hill,"4004",1475082.6437999999616295099258422851562,4887.7169229000000996165908873081207,137040.562,1.000
"3","3019600",Brooklyn,E,"019600","196",BK30,Dyker Heights,"4013",2027285.7897300003096461296081542968750,5718.1678614399997968575917184352875,188340.754,0.194
"3","3019700",Brooklyn,I,"019700","197",BK69,Clinton Hill,"4004",1828072.2695500000845640897750854492188,6148.3415525500004150671884417533875,169834.530,1.000
"3","3021200",Brooklyn,E,"021200","212",BK30,Dyker Heights,"4013",2054324.4589400000404566526412963867188,5986.1052276199998232186771929264069,190852.882,0.993
"3","3022700",Brooklyn,E,"022700","227",BK69,Clinton Hill,"4004",2588318.1705299997702240943908691406250,6861.7198646999995617079548537731171,240463.970,0.872
"3","3023500",Brooklyn,E,"023500","235",BK69,Clinton Hill,"4004",1523726.1138700000010430812835693359375,4958.0356781000000410131178796291351,141559.732,1.000
"3","3024500",Brooklyn,E,"024500","245",BK75,Bedford,"4003",1795931.6249400000087916851043701171875,5582.2225628100013636867515742778778,166848.462,1.000
"3","3024600",Brooklyn,E,"024600","246",BK88,Borough Park,"4014",1845582.8539199999067932367324829101562,6796.3133358400000361143611371517181,171459.898,0.000
"3","3024800",Brooklyn,E,"024800","248",BK28,Bensonhurst West,"4017",1895137.4630899999756366014480590820312,6417.4830222500004310859367251396179,176063.740,0.657
"3","3024900",Brooklyn,E,"024900","249",BK75,Bedford,"4003",1813352.7058399999514222145080566406250,5777.6551933299997472204267978668213,168466.944,0.863
"3","3025200",Brooklyn,E,"025200","252",BK28,Bensonhurst West,"4017",1950978.9673099999781697988510131835938,6686.6069542799996270332485437393188,181251.537,1.000
"3","3025400",Brooklyn,E,"025400","254",BK28,Bensonhurst West,"4017",1888611.5899900000076740980148315429688,6302.3946712200004185433499515056610,175457.353,0.986
"3","3025600",Brooklyn,E,"025600","256",BK28,Bensonhurst West,"4017",1869263.1154899999964982271194458007812,6298.0654212299996288493275642395020,173659.783,0.993
