"","uhf","ed_vis_rate_per_10thou","hosp_rate_per_10thou"
"1",101,191.6,32.7
"2",102,361.75,73.55
"3",103,496.95,92.95
"4",104,353.25,74.45
"5",105,560.8,82.6
"6",106,639.4,111.35
"7",107,680.3,110.35
"8",201,87.6,9.35
"9",202,145.85,24.4
"10",203,412.75,73.05
"11",204,435.95,86.3
"12",205,109.1,11.9
"13",206,53.9,8.3
"14",207,279.8,65.2
"15",208,216.75,48.8
"16",209,56.8,7.75
"17",210,103.9,17.85
"18",211,354,50
"19",301,255.9,48.1
"20",302,625.15,97.45
"21",303,639.85,72.4
"22",304,143.8,15.6
"23",305,54.95,14.25
"24",306,128.15,15.95
"25",307,117.5,15.65
"26",308,46.7,6.8
"27",309,270.75,34.2
"28",310,113.3,19.35
"29",401,127.7,19.5
"30",402,188.5,22.7
"31",403,104.05,20.65
"32",404,36.25,9.15
"33",405,108.35,23.1
"34",406,117,27.65
"35",407,151.25,29
"36",408,251.4,42
"37",409,139.85,35.65
"38",410,186.7,27.3
"39",501,225.7,54.15
"40",502,159.85,36.05
"41",503,59.75,14.75
"42",504,42.7,13.65
