boro_ctcode,asthma_rate,med_income_10thou,wghtd_avg_mmpy,prox_score
1022302,9.9,2.3527,43.6563,3.3469999999999995
4141700,7.3,7.3182,29.786799999999996,1.275
1015601,8.5,9.8766,54.8,4.8580000000000005
2005200,11.8,2.114,22.9,3.8249999999999997
1022200,10.7,4.125,29.4,4.552
4051200,11.7,8.5,30.1,3.5389999999999997
3051800,10.3,6.4211,19.5,0.31400000000000006
1030700,8.6,9.0714,45.9,3.449
2046000,12.8,3.1932,17.8,3.268
5027705,9.3,8.6397,11.1,2.55
3002100,7.8,22.8276,42.5,4.104
3078400,11.4,7.6417,21.8,1.033
2018301,10.9,3.7105,32.3,2.795
1012700,7.8,9.1143,48.67960000000001,4.586
3033500,10.3,6.8036,21.7,0.837
2040800,12,3.111,17.8,3.4470000000000005
4070300,8.4,6.8846,42.87669999999999,3.5
4063301,9,8.0156,19.6,4.342
5017011,9.4,10.0662,6.3,3.03
4094700,8.6,6.7625,19.5,2.136
3018400,8.7,6.3333,17.8,1.4789999999999999
4018101,8.3,6.3068,41.1,4.083
2024502,11.9,2.9835,34.6,3.5409999999999995
4040200,11.4,10.1538,16,3.674
5002001,9.1,8.0833,10.7008,3.9699999999999998
3077600,11.1,7.2568,16.912499999999998,2.0860000000000003
4002000,8.2,8.6938,19.5,4.342
3019900,9.5,10.8333,42.482600000000005,3.058
3038300,11.9,7.3641,21.7,0.017
3030900,13.2,4.6309,25.1,4.18
4077906,8.4,6.4614,34.3,3.493
5007700,11,5.7,10.7,2.46
4036500,9.2,5.125,33.7,4.228000000000001
2032400,12,1.9349,13,3.959
4033000,11.5,8.0833,16,3.7640000000000002
3112200,12.9,4.1442,20,1.9820000000000002
2032800,11.2,2.9219,13,3.579
4055600,8.7,7.7829,30.1,1.409
3054300,8.4,11.6875,42.415,3.351
3122000,11.6,3.9674,20.011400000000002,2.176
3005601,8.6,8.5923,26.2,0.17099999999999999
2037200,11.6,4.1346,17.8,2.96
4100801,10.5,9.2768,6.7932,0
3016400,8.9,10.657,26.1476,1.6179999999999999
4119900,7.9,6.1522,19.5,0
2011502,11.2,1.7656,16.6,4.161999999999999
2019300,11.9,2.3927,32.3,4.363
2003900,10.7,2.5772,27.9,4.392
3050500,9.6,4.1629,23.9,1.7199999999999998
3007500,8.2,13.8188,24.8,0.196
3021100,9.5,4.9679,42.5,4.812
3053000,9.6,5.3802,19.5,3.492
3079602,11.8,6.5714,19.5,4.625
3099400,11.7,8.0259,14.9,0.5640000000000001
3035900,13.8,3.2326,25.099800000000002,1.533
2028700,9,5.6518,15.4,3.129
3022200,10.9,3.3088,25.8,0.017
3073200,11.5,7,14.9,4.359
1014000,8.1,13.7109,54.8,4.825
1024200,11.7,2.5773,59.6,4.375
3018100,9.1,9.6452,42.5,4.569
2043100,11,3.5995,24.992800000000003,4.543
4152901,7.4,9.3819,30.1999,0.873
4072900,7.6,12.8867,42.9,2.603
4015500,8.3,9.5208,16.7,4.683
3049400,9.3,7.6513,25.8,3.237
2014702,13,2.2237,12.4,4.375
4023500,8.3,4.9544,41.1,3.348
4109700,7.9,9.5701,30.2,1.4629999999999999
3024700,11.8,4.6518,21.717,4.561999999999999
3091000,14.1,1.1585,24.9,0
3047200,10.8,6.0054,25.8,0.06
4069701,8,8.6875,42.9,2.5599999999999996
2002300,12.6,1.8688,27.9,4.769
4069400,11.6,8.2332,30.1,0
3023400,11.3,3.2237,25.8,0
4006202,9.2,5.3676,31.368599999999997,2.024
4073700,7.7,8.3634,42.9,2.5540000000000003
4022001,8.3,7.633,34.285199999999996,4.316
5012806,9.5,5.7212,5.7623999999999995,1.721
4084500,8.6,3.4043,19.5,4.002
2020000,9.5,4.0184,23.7865,4.52
4081400,11.6,9.1189,31.4,3.7479999999999998
3102000,11.4,10.4148,14.9,0
3070000,9.4,9.2778,14.9,0
4127700,8.3,14.3281,34.3,1.483
1020701,8.4,6.2802,43.7,4.536
3064000,8.5,12.0885,16.6885,0
4011900,8.9,6.8897,16.7,4.061999999999999
1002000,10,1.6653,49.4505,0
1026500,8.4,9.1004,45.9,4.686999999999999
3055600,9.1,5.5995,22.2,3.2340000000000004
2017702,12.1,3.4567,32.2602,3.412
3014200,8.9,5.8558,26.2,4.457
1022500,9.6,6.0585,43.7,3.0890000000000004
3084000,11.8,6.0625,21.8,3.444000000000001
2007700,10.8,3.8417,27.9,3.894
3036300,13,3.4063,24.9,2.55
4157101,7.8,9.7629,30.1,2.9899999999999998
3057300,9.2,10.2656,23.9,4.0409999999999995
4028400,11.7,9.0257,16,3.2920000000000003
3041500,10.4,6.4844,16.2,0.003
4091601,8.8,10.575,3.8080000000000003,0.034
3010100,9,7.5707,32,4.413
2023502,10.7,2.9342,34.6,3.309
3118800,9.1,5.119,20,2.184
3027800,8.9,5.7202,17.8,3.1260000000000003
2022101,11.1,3.26,32.3,4.465000000000001
3049900,8.4,7.6612,23.9,4.394
1017100,8.5,16.1979,46.3,3.1460000000000004
3009200,9.1,4.6622,28.8876,2.0469999999999997
3059402,8.7,9.75,22.2,0.31799999999999995
3048000,10.5,3.2056,19.5,2.796
5009700,10,7.5648,10.7,2.492
3048200,9.6,4.7569,20.7915,2.9159999999999995
4046200,9.5,5.067,16,4.045999999999999
3006700,8.4,17.1477,24.8,1.529
2037900,12.9,2.4183,33.650800000000004,4.72
3044700,9.6,4.6738,16.2,3.914
1011000,8,14.9583,54.825399999999995,4.835
2039400,12.8,4.8023,17.8,3.5550000000000006
1005501,7.7,16.1004,38.2,4.058
3051300,8.6,11.0972,23.9,4.859999999999999
