Year Description,Borough,Geography Name,Geography ID,Data Value
2016,Bronx,Belmont and East Tremont (CD6),206,32.5
2016,Bronx,Fordham and University Heights (CD5),205,34.6
2016,Bronx,Highbridge and Concourse (CD4),204,32.3
2016,Bronx,Hunts Point and Longwood (CD2),202,16.6
2016,Bronx,Kingsbridge Heights and Bedford (CD7),207,25
2016,Bronx,Morris Park and Bronxdale (CD11),211,13
2016,Bronx,Morrisania and Crotona (CD3),203,12.4
2016,Bronx,Mott Haven and Melrose (CD1),201,27.9
2016,Bronx,Parkchester and Soundview (CD9),209,22.9
2016,Bronx,Riverdale and Fieldston (CD8),208,15.4
2016,Bronx,Throgs Neck and Co-op City (CD10),210,26.5
2016,Bronx,Williamsbridge and Baychester (CD12),212,17.8
2016,Brooklyn,Bay Ridge and Dyker Heights (CD10),310,26.2
2016,Brooklyn,Bedford Stuyvesant (CD3),303,21.7
2016,Brooklyn,Bensonhurst (CD11),311,17.8
2016,Brooklyn,Borough Park (CD12),312,25.8
2016,Brooklyn,Brownsville (CD16),316,24.9
2016,Brooklyn,Bushwick (CD4),304,16.2
2016,Brooklyn,Coney Island (CD13),313,19.4
2016,Brooklyn,Crown Heights and Prospect Heights (CD8),308,25.1
2016,Brooklyn,East Flatbush (CD17),317,21.8
2016,Brooklyn,East New York and Starrett City (CD5),305,20
2016,Brooklyn,Flatbush and Midwood (CD14),314,19.5
2016,Brooklyn,Flatlands and Canarsie (CD18),318,14.9
2016,Brooklyn,Fort Greene and Brooklyn Heights (CD2),302,42.5
2016,Brooklyn,Greenpoint and Williamsburg (CD1),301,23.9
2016,Brooklyn,Park Slope and Carroll Gardens (CD6),306,24.8
2016,Brooklyn,Sheepshead Bay (CD15),315,22.2
2016,Brooklyn,South Crown Heights and Lefferts Gardens (CD9),309,21.7
2016,Brooklyn,Sunset Park (CD7),307,32
2016,Manhattan,Central Harlem (CD10),110,29.4
2016,Manhattan,Clinton and Chelsea (CD4),104,48.7
2016,Manhattan,East Harlem (CD11),111,59.6
2016,Manhattan,Financial District (CD1),101,34.5
2016,Manhattan,Greenwich Village and Soho (CD2),102,38.2
2016,Manhattan,Lower East Side and Chinatown (CD3),103,49.5
2016,Manhattan,Midtown (CD5),105,28.3
2016,Manhattan,Morningside Heights and Hamilton Heights (CD9),109,43.7
2016,Manhattan,Stuyvesant Town and Turtle Bay (CD6),106,67.5
2016,Manhattan,Upper East Side (CD8),108,54.8
2016,Manhattan,Upper West Side (CD7),107,46.3
2016,Manhattan,Washington Heights and Inwood (CD12),112,45.9
2016,Queens,Bayside and Little Neck (CD11),411,30.2
2016,Queens,Elmhurst and Corona (CD4),404,36.2
2016,Queens,Flushing and Whitestone (CD7),407,19.5
2016,Queens,Hillcrest and Fresh Meadows (CD8),408,34.3
2016,Queens,Jackson Heights (CD3),403,33.7
2016,Queens,Jamaica and Hollis (CD12),412,16
2016,Queens,Kew Gardens and Woodhaven (CD9),409,19.5
2016,Queens,Long Island City and Astoria (CD1),401,16.7
2016,Queens,Queens Village (CD13),413,30.1
2016,Queens,Rego Park and Forest Hills (CD6),406,42.9
2016,Queens,Ridgewood and Maspeth (CD5),405,19.6
2016,Queens,Rockaway and Broad Channel (CD14),414,6.8
2016,Queens,South Ozone Park and Howard Beach (CD10),410,31.4
2016,Queens,Woodside and Sunnyside (CD2),402,41.1
2016,Staten Island,South Beach and Willowbrook (CD2),502,11.1
2016,Staten Island,St. George and Stapleton (CD1),501,10.7
2016,Staten Island,Tottenville and Great Kills (CD3),503,6.3
